drug_name,side_effect,gender_specific,severity,age_group,frequency_in_females,category,risk_level,requires_monitoring,safer_alternative,pregnancy_risk,breastfeeding_risk
ACE_Inhibitors,dry_cough,General,Mild,18-30,Rare,Cardiovascular,Higher,Yes,ARBs (Angiotensin Receptor Blockers),Unknown,Low
ACE_Inhibitors,dizziness,General,Mild,18-30,Rare,Cardiovascular,Higher,Yes,ARBs (Angiotensin Receptor Blockers),Medium,High
ACE_Inhibitors,fatigue,General,Mild,18-30,Frequent,Cardiovascular,Higher,Yes,ARBs (Angiotensin Receptor Blockers),Unknown,High
ACE_Inhibitors,angioedema_higher_risk,Female_Specific,Mild,18-30,Frequent,Cardiovascular,Higher,Yes,ARBs (Angiotensin Receptor Blockers),Medium,Medium
ACE_Inhibitors,cough_3x_more_common,Female_Specific,Mild,18-30,Common,Cardiovascular,Higher,Yes,ARBs (Angiotensin Receptor Blockers),Medium,Medium
ACE_Inhibitors,dry_cough,General,Moderate,18-30,Common,Cardiovascular,Higher,Yes,ARBs (Angiotensin Receptor Blockers),Medium,High
ACE_Inhibitors,dizziness,General,Moderate,18-30,Common,Cardiovascular,Higher,No,ARBs (Angiotensin Receptor Blockers),High,Medium
ACE_Inhibitors,fatigue,General,Moderate,18-30,Common,Cardiovascular,Higher,No,ARBs (Angiotensin Receptor Blockers),Unknown,Medium
ACE_Inhibitors,angioedema_higher_risk,Female_Specific,Moderate,18-30,Frequent,Cardiovascular,Higher,Yes,ARBs (Angiotensin Receptor Blockers),High,High
ACE_Inhibitors,cough_3x_more_common,Female_Specific,Moderate,18-30,Common,Cardiovascular,Higher,Yes,ARBs (Angiotensin Receptor Blockers),Medium,High
ACE_Inhibitors,dry_cough,General,Severe,18-30,Common,Cardiovascular,Higher,No,ARBs (Angiotensin Receptor Blockers),High,Unknown
ACE_Inhibitors,dizziness,General,Severe,18-30,Rare,Cardiovascular,Higher,Yes,ARBs (Angiotensin Receptor Blockers),Low,Unknown
ACE_Inhibitors,fatigue,General,Severe,18-30,Rare,Cardiovascular,Higher,Yes,ARBs (Angiotensin Receptor Blockers),Unknown,Low
ACE_Inhibitors,angioedema_higher_risk,Female_Specific,Severe,18-30,Frequent,Cardiovascular,Higher,Yes,ARBs (Angiotensin Receptor Blockers),High,Medium
ACE_Inhibitors,cough_3x_more_common,Female_Specific,Severe,18-30,Frequent,Cardiovascular,Higher,Yes,ARBs (Angiotensin Receptor Blockers),High,Medium
ACE_Inhibitors,dry_cough,General,Mild,31-45,Frequent,Cardiovascular,Higher,Yes,ARBs (Angiotensin Receptor Blockers),Medium,High
ACE_Inhibitors,dizziness,General,Mild,31-45,Common,Cardiovascular,Higher,No,ARBs (Angiotensin Receptor Blockers),Low,Unknown
ACE_Inhibitors,fatigue,General,Mild,31-45,Frequent,Cardiovascular,Higher,Yes,ARBs (Angiotensin Receptor Blockers),Low,Low
ACE_Inhibitors,angioedema_higher_risk,Female_Specific,Mild,31-45,Frequent,Cardiovascular,Higher,Yes,ARBs (Angiotensin Receptor Blockers),Medium,Medium
ACE_Inhibitors,cough_3x_more_common,Female_Specific,Mild,31-45,Common,Cardiovascular,Higher,Yes,ARBs (Angiotensin Receptor Blockers),Medium,High
ACE_Inhibitors,dry_cough,General,Moderate,31-45,Frequent,Cardiovascular,Higher,No,ARBs (Angiotensin Receptor Blockers),Low,High
ACE_Inhibitors,dizziness,General,Moderate,31-45,Frequent,Cardiovascular,Higher,Yes,ARBs (Angiotensin Receptor Blockers),Low,Unknown
ACE_Inhibitors,fatigue,General,Moderate,31-45,Rare,Cardiovascular,Higher,Yes,ARBs (Angiotensin Receptor Blockers),High,Medium
ACE_Inhibitors,angioedema_higher_risk,Female_Specific,Moderate,31-45,Frequent,Cardiovascular,Higher,Yes,ARBs (Angiotensin Receptor Blockers),High,Medium
ACE_Inhibitors,cough_3x_more_common,Female_Specific,Moderate,31-45,Frequent,Cardiovascular,Higher,Yes,ARBs (Angiotensin Receptor Blockers),High,High
ACE_Inhibitors,dry_cough,General,Severe,31-45,Frequent,Cardiovascular,Higher,No,ARBs (Angiotensin Receptor Blockers),High,Low
ACE_Inhibitors,dizziness,General,Severe,31-45,Rare,Cardiovascular,Higher,No,ARBs (Angiotensin Receptor Blockers),High,Unknown
ACE_Inhibitors,fatigue,General,Severe,31-45,Frequent,Cardiovascular,Higher,Yes,ARBs (Angiotensin Receptor Blockers),High,High
ACE_Inhibitors,angioedema_higher_risk,Female_Specific,Severe,31-45,Frequent,Cardiovascular,Higher,Yes,ARBs (Angiotensin Receptor Blockers),High,High
ACE_Inhibitors,cough_3x_more_common,Female_Specific,Severe,31-45,Frequent,Cardiovascular,Higher,Yes,ARBs (Angiotensin Receptor Blockers),High,Medium
ACE_Inhibitors,dry_cough,General,Mild,46-60,Frequent,Cardiovascular,Higher,Yes,ARBs (Angiotensin Receptor Blockers),Medium,Medium
ACE_Inhibitors,dizziness,General,Mild,46-60,Rare,Cardiovascular,Higher,No,ARBs (Angiotensin Receptor Blockers),Medium,Low
ACE_Inhibitors,fatigue,General,Mild,46-60,Common,Cardiovascular,Higher,No,ARBs (Angiotensin Receptor Blockers),Unknown,High
ACE_Inhibitors,angioedema_higher_risk,Female_Specific,Mild,46-60,Common,Cardiovascular,Higher,Yes,ARBs (Angiotensin Receptor Blockers),Medium,Medium
ACE_Inhibitors,cough_3x_more_common,Female_Specific,Mild,46-60,Frequent,Cardiovascular,Higher,Yes,ARBs (Angiotensin Receptor Blockers),High,Medium
ACE_Inhibitors,dry_cough,General,Moderate,46-60,Rare,Cardiovascular,Higher,No,ARBs (Angiotensin Receptor Blockers),High,Unknown
ACE_Inhibitors,dizziness,General,Moderate,46-60,Rare,Cardiovascular,Higher,No,ARBs (Angiotensin Receptor Blockers),High,Unknown
ACE_Inhibitors,fatigue,General,Moderate,46-60,Frequent,Cardiovascular,Higher,No,ARBs (Angiotensin Receptor Blockers),High,High
ACE_Inhibitors,angioedema_higher_risk,Female_Specific,Moderate,46-60,Common,Cardiovascular,Higher,Yes,ARBs (Angiotensin Receptor Blockers),Medium,Medium
ACE_Inhibitors,cough_3x_more_common,Female_Specific,Moderate,46-60,Common,Cardiovascular,Higher,Yes,ARBs (Angiotensin Receptor Blockers),Medium,High
ACE_Inhibitors,dry_cough,General,Severe,46-60,Common,Cardiovascular,Higher,Yes,ARBs (Angiotensin Receptor Blockers),Unknown,Low
ACE_Inhibitors,dizziness,General,Severe,46-60,Rare,Cardiovascular,Higher,No,ARBs (Angiotensin Receptor Blockers),High,Unknown
ACE_Inhibitors,fatigue,General,Severe,46-60,Common,Cardiovascular,Higher,Yes,ARBs (Angiotensin Receptor Blockers),Medium,Unknown
ACE_Inhibitors,angioedema_higher_risk,Female_Specific,Severe,46-60,Frequent,Cardiovascular,Higher,Yes,ARBs (Angiotensin Receptor Blockers),High,Medium
ACE_Inhibitors,cough_3x_more_common,Female_Specific,Severe,46-60,Common,Cardiovascular,Higher,Yes,ARBs (Angiotensin Receptor Blockers),High,High
ACE_Inhibitors,dry_cough,General,Mild,60+,Frequent,Cardiovascular,Higher,Yes,ARBs (Angiotensin Receptor Blockers),Low,High
ACE_Inhibitors,dizziness,General,Mild,60+,Rare,Cardiovascular,Higher,Yes,ARBs (Angiotensin Receptor Blockers),Unknown,Unknown
ACE_Inhibitors,fatigue,General,Mild,60+,Rare,Cardiovascular,Higher,Yes,ARBs (Angiotensin Receptor Blockers),Unknown,Unknown
ACE_Inhibitors,angioedema_higher_risk,Female_Specific,Mild,60+,Frequent,Cardiovascular,Higher,Yes,ARBs (Angiotensin Receptor Blockers),Medium,High
ACE_Inhibitors,cough_3x_more_common,Female_Specific,Mild,60+,Frequent,Cardiovascular,Higher,Yes,ARBs (Angiotensin Receptor Blockers),High,Medium
ACE_Inhibitors,dry_cough,General,Moderate,60+,Rare,Cardiovascular,Higher,No,ARBs (Angiotensin Receptor Blockers),Unknown,Low
ACE_Inhibitors,dizziness,General,Moderate,60+,Frequent,Cardiovascular,Higher,No,ARBs (Angiotensin Receptor Blockers),High,Unknown
ACE_Inhibitors,fatigue,General,Moderate,60+,Rare,Cardiovascular,Higher,Yes,ARBs (Angiotensin Receptor Blockers),Low,Medium
ACE_Inhibitors,angioedema_higher_risk,Female_Specific,Moderate,60+,Frequent,Cardiovascular,Higher,Yes,ARBs (Angiotensin Receptor Blockers),Medium,High
ACE_Inhibitors,cough_3x_more_common,Female_Specific,Moderate,60+,Common,Cardiovascular,Higher,Yes,ARBs (Angiotensin Receptor Blockers),High,Medium
ACE_Inhibitors,dry_cough,General,Severe,60+,Common,Cardiovascular,Higher,Yes,ARBs (Angiotensin Receptor Blockers),Unknown,Low
ACE_Inhibitors,dizziness,General,Severe,60+,Rare,Cardiovascular,Higher,No,ARBs (Angiotensin Receptor Blockers),Unknown,Unknown
ACE_Inhibitors,fatigue,General,Severe,60+,Frequent,Cardiovascular,Higher,No,ARBs (Angiotensin Receptor Blockers),Unknown,Unknown
ACE_Inhibitors,angioedema_higher_risk,Female_Specific,Severe,60+,Frequent,Cardiovascular,Higher,Yes,ARBs (Angiotensin Receptor Blockers),Medium,High
ACE_Inhibitors,cough_3x_more_common,Female_Specific,Severe,60+,Frequent,Cardiovascular,Higher,Yes,ARBs (Angiotensin Receptor Blockers),High,Medium
Beta_Blockers,fatigue,General,Mild,18-30,Frequent,Cardiovascular,Higher,Yes,Calcium Channel Blockers,Low,Medium
Beta_Blockers,dizziness,General,Mild,18-30,Common,Cardiovascular,Higher,No,Calcium Channel Blockers,High,High
Beta_Blockers,cold_hands,General,Mild,18-30,Rare,Cardiovascular,Higher,No,Calcium Channel Blockers,High,Medium
Beta_Blockers,depression_risk,Female_Specific,Mild,18-30,Frequent,Cardiovascular,Higher,Yes,Calcium Channel Blockers,High,High
Beta_Blockers,weight_gain,Female_Specific,Mild,18-30,Common,Cardiovascular,Higher,Yes,Calcium Channel Blockers,High,High
Beta_Blockers,hair_loss,Female_Specific,Mild,18-30,Common,Cardiovascular,Higher,Yes,Calcium Channel Blockers,High,Medium
Beta_Blockers,fatigue,General,Moderate,18-30,Common,Cardiovascular,Higher,Yes,Calcium Channel Blockers,High,High
Beta_Blockers,dizziness,General,Moderate,18-30,Common,Cardiovascular,Higher,No,Calcium Channel Blockers,High,Medium
Beta_Blockers,cold_hands,General,Moderate,18-30,Frequent,Cardiovascular,Higher,No,Calcium Channel Blockers,Medium,High
Beta_Blockers,depression_risk,Female_Specific,Moderate,18-30,Frequent,Cardiovascular,Higher,Yes,Calcium Channel Blockers,Medium,Medium
Beta_Blockers,weight_gain,Female_Specific,Moderate,18-30,Common,Cardiovascular,Higher,Yes,Calcium Channel Blockers,Medium,Medium
Beta_Blockers,hair_loss,Female_Specific,Moderate,18-30,Common,Cardiovascular,Higher,Yes,Calcium Channel Blockers,Medium,High
Beta_Blockers,fatigue,General,Severe,18-30,Common,Cardiovascular,Higher,No,Calcium Channel Blockers,High,Unknown
Beta_Blockers,dizziness,General,Severe,18-30,Common,Cardiovascular,Higher,No,Calcium Channel Blockers,Unknown,Low
Beta_Blockers,cold_hands,General,Severe,18-30,Frequent,Cardiovascular,Higher,Yes,Calcium Channel Blockers,Low,Unknown
Beta_Blockers,depression_risk,Female_Specific,Severe,18-30,Frequent,Cardiovascular,Higher,Yes,Calcium Channel Blockers,Medium,Medium
Beta_Blockers,weight_gain,Female_Specific,Severe,18-30,Common,Cardiovascular,Higher,Yes,Calcium Channel Blockers,High,Medium
Beta_Blockers,hair_loss,Female_Specific,Severe,18-30,Frequent,Cardiovascular,Higher,Yes,Calcium Channel Blockers,Medium,High
Beta_Blockers,fatigue,General,Mild,31-45,Frequent,Cardiovascular,Higher,Yes,Calcium Channel Blockers,Unknown,Unknown
Beta_Blockers,dizziness,General,Mild,31-45,Common,Cardiovascular,Higher,No,Calcium Channel Blockers,High,High
Beta_Blockers,cold_hands,General,Mild,31-45,Common,Cardiovascular,Higher,Yes,Calcium Channel Blockers,Low,Low
Beta_Blockers,depression_risk,Female_Specific,Mild,31-45,Frequent,Cardiovascular,Higher,Yes,Calcium Channel Blockers,High,High
Beta_Blockers,weight_gain,Female_Specific,Mild,31-45,Frequent,Cardiovascular,Higher,Yes,Calcium Channel Blockers,High,Medium
Beta_Blockers,hair_loss,Female_Specific,Mild,31-45,Frequent,Cardiovascular,Higher,Yes,Calcium Channel Blockers,High,Medium
Beta_Blockers,fatigue,General,Moderate,31-45,Frequent,Cardiovascular,Higher,Yes,Calcium Channel Blockers,High,High
Beta_Blockers,dizziness,General,Moderate,31-45,Frequent,Cardiovascular,Higher,Yes,Calcium Channel Blockers,Low,High
Beta_Blockers,cold_hands,General,Moderate,31-45,Frequent,Cardiovascular,Higher,Yes,Calcium Channel Blockers,Unknown,Low
Beta_Blockers,depression_risk,Female_Specific,Moderate,31-45,Common,Cardiovascular,Higher,Yes,Calcium Channel Blockers,Medium,High
